Name,Pantry,Refrigerator,Frozen,Purchasing,Tips,Environmental impact,Environmental impact website,Composting,Composting Website
apple,3 weeks,4 - 6 weeks,8 months,"Look for unbruised, shiny apples",Freezing guidance applies to cooked product,nitrous oxide emission from fertilizer application; carbon dioxide from equipment use,https://www.goodfruit.com/how-big-is-the-orchard-footprint/,"Nitrogen helps compost break down, and apples are great sources of nitrogen.", https://www.compostthis.co.uk/apples
Apples,3 weeks,4 - 6 weeks,8 months,"Look for unbruised, shiny apples",Freezing guidance applies to cooked product,nitrous oxide emission from fertilizer application; carbon dioxide from equipment use,https://www.goodfruit.com/how-big-is-the-orchard-footprint/,"Nitrogen helps compost break down, and apples are great sources of nitrogen.",https://homeguides.sfgate.com/compost-apples-37349.html
Asparagus ,,3 - 4 days,5 months,"Look for firm, bright green and violet tinged asparagus that has compact tips",Stand up in a jar with water to keep it fresh longer,greenhouse gases such as carbon dioxide,https://www.nationalgeographic.com/people-and-culture/food/the-plate/2016/02/09/the-surprisingly-big-carbon-shadow-cast-by-slender-asparagus/,Can be added to compost materials,https://bonnieplants.com/gardening/composting-101-how-to-create-a-compost-pile/
avocado,3-7 days,3 - 4 days,3-6 months,Squeeze to see how ripe it is; choose harder avocados to eat later and softer avocados for immediate consumption,"Ripe is when this item is tender, fully developed and ready to eat. To ripen, keep at room temperature in a paper bag until soft.","need for deforestation and pesticide application, apart from mineral depletion from soil",https://e-csr.net/benefits-avocados-production-bad-people-planet-27107/,"As long as avocado stones and skin aren't composted, flesh can be quickly rotted down to provide nutrients to soil.", https://www.compostthis.co.uk/avocado
Avocados,3-7 days,3 - 4 days,3-6 months,Squeeze to see how ripe it is; choose harder avocados to eat later and softer avocados for immediate consumption,"Ripe is when this item is tender, fully developed and ready to eat. To ripen, keep at room temperature in a paper bag until soft.","need for deforestation and pesticide application, apart from mineral depletion from soil",https://e-csr.net/benefits-avocados-production-bad-people-planet-27107/,"As long as avocado stones and skin aren't composted, flesh can be quickly rotted down to provide nutrients to soil.",https://www.compostthis.co.uk/avocado
Baby carrots,4 days,4 weeks,3 months,Make sure the carrots do not look dry and are bright in color,Blanch before freezing,pesticide use and long distance for transporting carrots,https://www.sustainweb.org/foodfacts/carrot_fashion/,Cut them up into small chunks and fastest composting,https://www.compostthis.co.uk/carrots
Bagged greens,,3 - 5 days,,,Last 2 days if refigerated after opening ,uses a tremendous amount of water,https://www.treehugger.com/green-food/7-reasons-ditch-packaged-salads.html,Rich in nitrogen and protein,https://www.thespruce.com/composting-greens-and-browns-2539485
banana,3 days,5-7 days,2 - 3 months,"For perfectly ripe bananas, choose slightly firm and bright yellow bananas","Ripe is when this item is tender, fully developed and ready to eat.",destruction of rainforests; pesticide application and soil fertility depletion,https://community.plu.edu/~bananas/environmental/home.html,Add nutrients such as magnesium and sulfur to soil to promote healthy growth of plants., https://www.compostthis.co.uk/bananas
Bananas,3 days,5-7 days,2 - 3 months,"For perfectly ripe bananas, choose slightly firm and bright yellow bananas","Ripe is when this item is tender, fully developed and ready to eat.",destruction of rainforests; pesticide application and soil fertility depletion,https://community.plu.edu/~bananas/environmental/home.html,Add nutrients such as magnesium and sulfur to soil to promote healthy growth of plants.,https://www.gardeningknowhow.com/composting/ingredients/banana-peels-compost.htm
Blueberries,,1 - 2 weeks,8 -12 months,"Avoid reddish blueberries, and always check the bottom of the packaging for bruised blueberries",Wash them in water and vinegar to keep them fresh longer,pesticide application,https://extension.psu.edu/highbush-blueberry-production#section-4,"As long as compost around not too alkaline pH, or around 6.8 to 7.0, should be fine.",http://www.homecompostingmadeeasy.com/whattocompost.html
broccoli,,7 days,,Look for broccoli with bright green heads.,,,,Broccoli heads and leaves compost down pretty quickly. The stalk tends to take a lot longer � cut it into small chunks if you want it to rot down in a more timely fashion., https://www.compostthis.co.uk/broccoli
Brussel sprouts,,3 - 5 days,10 -12 months,Check for bright green heads that are firmly packed and heavy for its size,Keep it in a plastic bag in the fridge and remove the yellow/wilted leaves for longer storage,disease and infestation issues,https://foodprint.org/real-food/brussels-sprouts/,"Can be composted and, in fact, recommended for composting",https://www.compostthis.co.uk/brussels-sprouts
brussels sprouts,,3 - 5 days,10 -12 months,Check for bright green heads that are firmly packed and heavy for its size,Keep it in a plastic bag in the fridge and remove the yellow/wilted leaves for longer storage,disease and infestation issues,https://foodprint.org/real-food/brussels-sprouts/,"Can be composted and, in fact, recommended for composting", https://www.compostthis.co.uk/brussels-sprouts
carrot,4 days,4 weeks,3 months,Make sure the carrots do not look dry and are bright in color,Blanch before freezing,pesticide use and long distance for transporting carrots,https://www.sustainweb.org/foodfacts/carrot_fashion/,Cut them up into small chunks and fastest composting, https://www.compostthis.co.uk/carrots
cauliflower,,3 to 5 Days,10 to 12 Months,,"Cauliflower can be roasted, boiled, fried, steamed, or eaten raw",,,Break the head up into smaller chunks if you want it to rot down quickly; the leaves rot down quickly anyway., https://www.compostthis.co.uk/cauliflowers
cheese,,6 Months,6 Months,,"Cheese is a food derived from milk that is produced in a wide range of flavors, textures, and forms by coagulation of the milk protein casein.",,,"It�s best not to compost cheese � or any other dairy products. While it will rot down, rats or other undesirable animals may be attracted to your compost heap in the meantime.", https://www.compostthis.co.uk/cheese
chili,,4 to 14 Days,6 to 8 Months,,,,,It's safe to compost most fruits and vegetables., https://www.compostthis.co.uk/chillis
clementine,,,,,,,,It's safe to compost most fruits and vegetables., https://www.compostthis.co.uk/clementines
corn,,,,,,,,It's safe to compost most fruits and vegetables., https://www.compostthis.co.uk/sweet-corn
cream,,1 month,,,,,,It's best not to compost dairy products., https://www.compostthis.co.uk/cream
cucumber,,4 to 6 Days,,,,,,It's safe to compost most fruits and vegetables., https://www.compostthis.co.uk/cucumber
egg,,3 to 5 Weeks,,,,,,You can compost egg shells!, https://www.compostthis.co.uk/egg-shells
fava beans,1 to 2 Years,,,,,,,It's safe to compost most fruits and vegetables., https://www.compostthis.co.uk/broad-fava-bean-pods
garlic,8 to 12 Months,,,,,,,It's safe to compost most fruits and vegetables., https://www.compostthis.co.uk/garlic
grapefruit,,,,,,,,It's safe to compost most fruits and vegetables., https://www.compostthis.co.uk/grapefruit
grapes,1 day,1 week,,,,,,It's safe to compost most fruits and vegetables., https://www.compostthis.co.uk/grapes
juice,Package use-by date,8-12 days after open,,,,,,"Yes, you�can compost fruit juice and leftover pulp�from juicing � but�don�t compost leftover smoothies.", https://www.compostthis.co.uk/fruit-juice
kale,,3 to 5 Days,8 to 12 Months,,,,,It's safe to compost most fruits and vegetables., https://www.compostthis.co.uk/kale
leeks,,1 to 2 Weeks,10 to 12 Months,,,,,It's safe to compost most fruits and vegetables., https://www.compostthis.co.uk/leeks
lemon,,,,,,,,It's safe to compost most fruits and vegetables., https://www.compostthis.co.uk/lemons
Lettuces,,3 - 7 days,Not recommended,Choose lettuce with dark outer leaves that are intact along; check to see that the heads are tightly packed,Leave it intact and unwashed for it to last longer ,three times more greenhouse gas emissions than bacon,https://www.scientificamerican.com/article/lettuce-produces-more-greenhouse-gas-emissions-than-bacon-does/,Compost quickly to add extra moisture to soil,https://www.compostthis.co.uk/lettuce
lime,,,,,,,,It's safe to compost most fruits and vegetables., https://www.compostthis.co.uk/limes
mango,3 to 5 Days,1 week,,,,,,It's safe to compost most fruits and vegetables., https://www.compostthis.co.uk/mango
melon,,2 weeks,,,,,,It's safe to compost most fruits and vegetables., https://www.compostthis.co.uk/melon
milk,,Package use-by date,3 Months,,,,,It's best not to compost dairy products., https://www.compostthis.co.uk/milk-2
mushroom,,3 to 7 Days,10 to 12 Months,,,,,It's safe to compost most fruits and vegetables., https://www.compostthis.co.uk/mushrooms
olive,,2 weeks,,,,,,It's safe to compost most fruits and vegetables., https://www.compostthis.co.uk/olives
onion,1 month,2 months,10 to 12 Months,,,,,It's safe to compost most fruits and vegetables., https://www.compostthis.co.uk/onion
orange,,,,,,,,It's safe to compost most fruits and vegetables., https://www.compostthis.co.uk/oranges
parsnips,,2 to 3 Weeks,10 to 12 Months,,,,,It's safe to compost most fruits and vegetables., https://www.compostthis.co.uk/parsnips
pear,,4 to 14 Days,6 to 8 months,,,,,It's safe to compost most fruits and vegetables., https://www.compostthis.co.uk/pears
pepper,,,,,,,,It's safe to compost most fruits and vegetables., https://www.compostthis.co.uk/peppers
pineapple,,,,,"Pineapples are consumed fresh, cooked, juiced, and preserved, and are found in a wide array of cuisines.",,,, https://www.compostthis.co.uk/pineapple
pistachios,3 Weeks,12 Months; Refrigeration of this item provides no benefit.,24 Months; Freezing of this item provides no benefit.,,,,,"Yes,�you can compost pistachio nuts and their shells�� but they take a while to break down.", https://www.compostthis.co.uk/pistachios
plum,,,,,,,,It's safe to compost most fruits and vegetables., https://www.compostthis.co.uk/plums
potato,1 to 2 Months,1 to 2 Weeks,,,,,,It's safe to compost most fruits and vegetables., https://www.compostthis.co.uk/potatoes
pumpkin,2 to 3 Months,3 to 5 Months,,,,,,It's safe to compost most fruits and vegetables., https://www.compostthis.co.uk/pumpkins
rhubarb,,3 to 7 Days,,,,,,It's safe to compost most fruits and vegetables., https://www.compostthis.co.uk/rhubarb
rutabaga,1 week,2 to 3 Weeks,8 to 10 Months,,,,,It's safe to compost most fruits and vegetables., https://www.compostthis.co.uk/swede
mandarin orange,,,,,,,,It's safe to compost most fruits and vegetables., https://www.compostthis.co.uk/satsumas
spinach,,,,,,,,It's safe to compost most fruits and vegetables., https://www.compostthis.co.uk/spinach
squash,1 to 5 Days,4 to 5 Days,10 to 12 Months,,,,,It's safe to compost most fruits and vegetables., https://www.compostthis.co.uk/squash
strawberry,,2 to 3 Days,,,,,,It's safe to compost most fruits and vegetables., https://www.compostthis.co.uk/strawberries
strawberries,,2 to 3 Days,,,,,,It's safe to compost most fruits and vegetables., https://www.compostthis.co.uk/strawberries
sweet potato,1 to 2 Months,1 to 2 Weeks,,,,,,It's safe to compost most fruits and vegetables., https://www.compostthis.co.uk/sweet-potato
tomato,7 days once ripe,USDA recommends pantry storage,2 months,Feel for denser tomatoes that are plump and heavy,"Ripe is when this item is tender, fully developed and ready to eat.",greenhouse gas effect,http://www.tomatonews.com/en/prefer-project-the-environmental-impact-of-tomato-products_2_225.html,Adds water to soil, https://www.compostthis.co.uk/tomatoes
Tomatoes,7 days once ripe,USDA recommends pantry storage,2 months,Feel for denser tomatoes that are plump and heavy,"Ripe is when this item is tender, fully developed and ready to eat.",greenhouse gas effect,http://www.tomatonews.com/en/prefer-project-the-environmental-impact-of-tomato-products_2_225.html,Adds water to soil,https://www.compostthis.co.uk/tomatoes
walnuts,2 to 4 Weeks,9 to 12 months,24 months,,,,,"No, you shouldn't compost walnuts or walnut shells, at least not in any great amount. Walnuts can be toxic to compost.", https://www.compostthis.co.uk/walnuts
yogurt,,1 to 2 Weeks,,,,,,It's best not to compost dairy products., https://www.compostthis.co.uk/yoghurt
zucchini,,1 week,,,,,,It's safe to compost most fruits and vegetables., https://www.compostthis.co.uk/courgettes-and-marrows
