ID,Product_ID,Cooking_Method,Measure_from,Measure_to,Size_metric,Cooking_Temperature,Timing_from,Timing_to,Timing_metric,Timing_per
1,34,Oven,4,8,pounds,325,23,30,minutes,pound
2,35,Oven,4,6,pounds,325,28,38,minutes,pound
3,36,Oven,2.5,4,pounds,325,30,35,minutes,pound
4,37,Oven,4,6,pounds,425,45,60,minutes,
5,38,Oven,2,3,pounds,425,35,45,minutes,
6,39,Braise,3,4,pounds,325,1.5,2.5,hours,
7,40,Broil/Grill,,,,,4,5,minutes,
8,41,Cover with liquid; simmer,1,1.5,inches,,2,3,hours,
9,42,Braise,4,8,ounces,325,1.5,2.5,hours,
10,43,Broil/Grill/Fry,4,8,ounces,,3,5,minutes,
11,44,Oven,5,7,pounds,325,20,25,minutes,pound
12,45,Oven,7,9,pounds,325,15,20,minutes,pound
13,46,Oven,4,7,pounds,325,25,30,minutes,pound
14,47,Oven,3,4,pounds,375,20,30,minutes,pound
15,48,Oven,3,4,pounds,325,30,35,minutes,pound
16,49,Broil/Grill,1,1.5,inches,,8,12,minutes,
17,50,Broil/Grill/Fry,4,8,ounces,,5,8,minutes,
18,51,Broil/Grill,1,1.5,inches,,7,11,minutes,
19,52,Broil/Grill,0.75,0.75,inches,,14,18,minutes,
20,53,Cover with liquid; simmer,1,1.5,inches,,1,1.5,hours,
21,54,Cover with liquid; simmer,0.75,1,pounds,,1,1.5,hours,
22,55,Braise,1.5,2,pounds,325,1,1.5,hours,
23,56,Oven,3,5,pounds,325,35,40,minutes,pound
24,57,Oven,3,5,pounds,325,35,40,minutes,pound
25,58,Oven,3,4,pounds,325,30,34,minutes,pound
26,59,Broil/Grill/Fry,4,8,ounces,,5,8,minutes,
27,60,Oven,2,5,pounds,325,20,30,minutes,pound
28,61,Oven,2,4,pounds,325,23,33,minutes,pound
29,63,Broil/Grill,0.75,1.5,inches,,8,9,minutes,
30,63,Skillet,0.25,0.75,inches,,3,4,minutes,
31,63,Braise,0.25,0.75,inches,325,6,8,minutes,
32,64,Broil/Grill,0.75,1.5,inches,,12,16,minutes,
33,64,Skillet,0.25,0.75,inches,,7,8,minutes,
34,64,Braise,0.25,0.75,inches,325,6,8,minutes,
35,65,Oven,4,6,pounds,325,20,30,minutes,pound
36,66,Oven,6,10,pounds,325,20,25,minutes,pound
37,67,Oven,0.5,1.5,pounds,425-450,20,30,minutes,
38,67,Broil/Grill,0.5,1.5,pounds,,20,20,minutes,
39,69,Braise,0.5,1,inches,325,8,10,minutes,
40,69,Skillet,0.5,1,inches,,8,10,minutes,
41,72,Oven,2,4,pounds,350,1.5,2,hours,
42,72,Braise,2,4,pounds,325,1.5,2,hours,
43,72,Broil/Grill,2,4,pounds,,1.5,2,hours,
44,73,Broil/Grill/Fry,4,8,ounces,,5,10,minutes,
45,74,Oven,3,6,pounds,350,45,45,minutes,pound
46,74,Braise,3,6,pounds,325,2,2.5,hours,
47,75,Broil/Grill,1,1,inches,,10,15,minutes,
48,75,Cover with liquid; simmer,1,1,inches,,45,60,minutes,
49,76,Oven,3,4,pounds,325,20,25,minutes,pound
50,83,Oven,10,14,pounds,325,15,18,minutes,pound
51,84,Oven,5,7,pounds,325,18,24,minutes,pound
52,85,Oven,7,9,pounds,325,10,18,minutes,pound
53,86,Oven,5,8,pounds,325,25,30,minutes,pound
54,87,Oven,3,10,pounds,325,15,20,minutes,pound
55,88,Oven,6,12,pounds,325,10,15,minutes,pound
56,89,Oven,10,14,pounds,325,18,20,minutes,pound
57,90,Oven,5,7,pounds,325,22,25,minutes,pound
58,91,Oven,3,4,pounds,325,35,40,minutes,pound
59,92,Oven,5,8,pounds,325,30,35,minutes,pound
60,93,Oven,2,4,pounds,325,35,40,minutes,pound
61,94,Oven,8,20,pounds,325,22,26,minutes,pound
62,95,Oven,5,8,pounds,325,24,28,minutes,pound
63,96,Oven,5,8,pounds,325,35,40,minutes,pound
64,97,Boil,6,16,pounds,,20,25,minutes,pound
65,113,Oven,5,7,pounds,350,20,30,minutes,pound
66,114,Oven,4,24,pounds,325,30,30,minutes,pound
67,115,Broil/Grill/Fry,4,8,ounces,,5,8,minutes,
68,116,Oven,6,8,ounces,350,30,40,minutes,
69,117,Oven,4,4,ounces,350,20,30,minutes,
70,118,Oven,4,8,ounces,350,40,50,minutes,
71,119,Oven,,,,325,30,40,minutes,
72,120,Oven,,,,325,20,30,minutes,
73,121,Oven,,,,325,40,50,minutes,
74,123,Oven,,,,375,20,20,minutes,pound
75,124,Oven,,,,350,18,20,minutes,pound
76,125,Oven,,,,325,20,25,minutes,pound
77,126,Oven,2,3,pounds,350,30,30,minutes,pound
78,127,Oven,,,,425,20,20,minutes,
79,128,Oven,4,8,pounds,375,20,30,minutes,pound
80,129,Oven,18,24,ounces,350,50,60,minutes,
81,81,Oven,,,,350,1,1,hour,pound
82,81,Cover with liquid; simmer,,,,,1,1,hour,pound
83,81,Slow Cooker (Low),,,,,10,12,hours,
84,81,Slow Cooker (High),,,,,5,6,hours,
85,106,Broil/Grill,1,1.5,inches,,20,35,minutes,
86,132,Broil/Grill,1,1.5,inches,,20,35,minutes,
87,135,Oven,,,,325,,,,
88,141,Oven,,,,325,30,30,minutes,
92,78,Broil/Grill/Fry,4,8,ounces,,5,8,minutes,
