ID,Product_ID,Tips,Safe_Minimum_Temperature,Rest_Time,Rest_Time_metric
1,21,Cook until yolk and white are firm.,,,
2,24,,160,,
3,34,,145,3,minutes
4,35,,145,3,minutes
5,36,,145,3,minutes
6,37,,145,3,minutes
7,38,,145,3,minutes
8,39,Braising is roasting or simmering less-tender meats with a small amount of liquid in a tightly covered pan.,145,3,minutes
9,40,"Cooking times are per side. Use a food thermometer to check internal temperature, and cook longer if below safe temperature.",145,3,minutes
10,41,,145,3,minutes
11,42,Braising is roasting or simmering less-tender meats with a small amount of liquid in a tightly covered pan.,145,,
12,43,Cooking suggestions are for burgers. Cooking times are per side if grilling.,160,,
13,44,,145,3,minutes
14,45,,145,3,minutes
15,46,,145,3,minutes
16,47,,145,3,minutes
17,48,,145,3,minutes
18,49,,145,3,minutes
19,50,Cooking suggestions are for burgers. Cooking times are per side if grilling.,160,,
20,51,Cooking times are per side.,145,3,minutes
21,52,Cook 4 inches from heat.,145,3,minutes
22,53,,145,3,minutes
23,54,,145,3,minutes
24,55,Braising is roasting or simmering less-tender meats with a small amount of liquid in a tightly covered pan.,145,3,minutes
25,56,,145,3,minutes
26,57,,145,3,minutes
27,58,,145,3,minutes
28,59,Cooking suggestions are for burgers. Cooking times are per side if grilling.,160,,
29,60,"When cooked to safe temperatures, fresh pork may still be pink inside - but it will be safe.",145,3,minutes
30,61,"When cooked to safe temperatures, fresh pork may still be pink inside - but it will be safe.",145,3,minutes
34,63,"When cooked to safe temperatures, fresh pork may still be pink inside - but it will be safe. Braising is roasting or simmering less-tender meats with a small amount of liquid in a tightly covered pan.",145,3,minutes
37,64,"When cooked to safe temperatures, fresh pork may still be pink inside - but it will be safe. Braising is roasting or simmering less-tender meats with a small amount of liquid in a tightly covered pan.",145,3,minutes
38,65,"When cooked to safe temperatures, fresh pork may still be pink inside - but it will be safe.",145,3,minutes
39,66,"When cooked to safe temperatures, fresh pork may still be pink inside - but it will be safe.",145,3,minutes
40,67,"When cooked to safe temperatures, fresh pork may still be pink inside - but it will be safe.",145,3,minutes
41,67,"When cooked to safe temperatures, fresh pork may still be pink inside - but it will be safe.",145,3,minutes
43,69,"When cooked to safe temperatures, fresh pork may still be pink inside - but it will be safe. Braising is roasting or simmering less-tender meats with a small amount of liquid in a tightly covered pan.",145,3,minutes
46,72,"When cooked to safe temperatures, fresh pork may still be pink inside - but it will be safe. Braising is roasting or simmering less-tender meats with a small amount of liquid in a tightly covered pan.",145,3,minutes
48,73,cooking suggestions are for burgers. cooking times are per side if grilling.,160,,
49,74,"When cooked to safe temperatures, fresh pork may still be pink inside - but it will be safe. Braising is roasting or simmering less-tender meats with a small amount of liquid in a tightly covered pan.",145,3,minutes
50,75,"When cooked to safe temperatures, fresh pork may still be pink inside - but it will be safe.",145,3,minutes
51,76,,160,,
53,83,Reheat cooked hams packaged in USDA-inspected plants to 140°F and all others to 165°F.,140,,
54,84,Reheat cooked hams packaged in USDA-inspected plants to 140°F and all others to 165°F.,140,,
55,85,Reheat cooked hams packaged in USDA-inspected plants to 140°F and all others to 165°F.,140,,
56,86,Reheat cooked hams packaged in USDA-inspected plants to 140°F and all others to 165°F.,140,,
57,87,Reheat cooked hams packaged in USDA-inspected plants to 140°F and all others to 165°F.,140,,
58,88,Reheat cooked hams packaged in USDA-inspected plants to 140°F and all others to 165°F.,140,,
59,89,,145,3,minutes
60,90,,145,3,minutes
61,91,,145,3,minutes
62,92,,145,3,minutes
63,93,,145,3,minutes
64,94,,145,3,minutes
65,95,,145,3,minutes
66,96,,145,3,minutes
67,97,"Before cooking, soak 4 to 12 hours with water in the refrigerator. After boiling, drain, glaze, and brown at 400°F for 15 minutes.",,,
68,113,"Cooking times for poultry are for unstuffed birds. Check the internal temperature in the innermost part of the thigh, innermost part of the wing, and thickest part of the breast. Add 15 to 30 minutes for stuffed birds. Stuffed birds are ready when the internal temperature of stuffing reaches 165°F.",165,,
69,114,"Cooking times for poultry are for unstuffed birds. Check the internal temperature in the innermost part of the thigh, innermost part of the wing, and thickest part of the breast. Add 15 to 30 minutes for stuffed birds. Stuffed birds are ready when the internal temperature of stuffing reaches 165°F.",165,,
70,115,Cooking suggestions are for burgers. Cooking times are per side if grilling.,165,,
71,116,,165,,
72,117,,165,,
73,118,,165,,
74,119,,165,,
75,120,,165,,
76,121,,165,,
77,122,Cooking times for poultry are for unstuffed birds. Add 15 to 30 minutes for stuffed birds. The internal temperature should reach 165°F in the center of the stuffing.,165,,
78,123,"Check the internal temperature in the innermost part of the thigh, innermost part of the wing, and thickest part of the breast.",165,,
79,124,"Check the internal temperature in the innermost part of the thigh, innermost part of the wing, and thickest part of the breast.",165,,
80,125,"Check the internal temperature in the innermost part of the thigh, innermost part of the wing, and thickest part of the breast.",165,,
81,126,"Cooking times for poultry are for unstuffed birds. Check the internal temperature in the innermost part of the thigh, innermost part of the wing, and thickest part of the breast. Add 15 to 30 minutes for stuffed birds. Stuffed birds are ready when the internal temperature of stuffing reaches 165°F.",165,,
82,127,"Cooking times for poultry are for unstuffed birds. Check the internal temperature in the innermost part of the thigh, innermost part of the wing, and thickest part of the breast. Add 15 to 30 minutes for stuffed birds. Stuffed birds are ready when the internal temperature of stuffing reaches 165°F.",165,,
83,128,"Cooking times for poultry are for unstuffed birds. Check the internal temperature in the innermost part of the thigh, innermost part of the wing, and thickest part of the breast. Add 15 to 30 minutes for stuffed birds. Stuffed birds are ready when the internal temperature of stuffing reaches 165°F.",165,,
84,129,"Cooking times for poultry are for unstuffed birds. Check the internal temperature in the innermost part of the thigh, innermost part of the wing, and thickest part of the breast. Add 15 to 30 minutes for stuffed birds. Stuffed birds are ready when the internal temperature of stuffing reaches 165°F.",165,,
85,144,Cook until flesh is opaque and separates easily with a fork.,145,,
86,145,Cook until flesh is opaque and separates easily with a fork.,145,,
87,146,,145,,
88,150,Cook until flesh is milky white or opaque and firm.,,,
89,151,Cook until flesh is pearly and opaque.,,,
90,154,Cook until flesh is pearly and opaque.,,,
91,157,Cook until shells open during cooking.,,,
92,158,Cook until flesh is pearly and opaque.,,,
93,159,Cook until flesh is pearly and opaque.,,,
94,160,Cook until shells open during cooking.,,,
95,161,Cook until flesh is pearly and opaque.,,,
96,194,,165,,
97,81,Cooking methods apply covered in water.,,,
98,106,,145,3,minutes
99,132,,165,,
100,134,Follow packaging directions.,165,,
101,135,,165,,
102,141,,165,,
105,78,Cooking suggestions are for burgers. Cooking times are per side if grilling.,160,,
