,Nutr. Units / FU,"Resampled, Randomized Data",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Data Without Resampling or Randomization (original study data, after harmonizing methodology)",,,,,,,,,,,
,,Land Use (m2/nutritional unit),,,,,,"GHG Emissions (kg CO2eq/NU, IPCC 2013 incl CC feedbacks)",,,,,,"GHG Emissions (kg CO2eq/NU, IPCC 2007)",,,,,,"Acidifying Emissions (g SO2eq/NU, CML2 Baseline)",,,,,,"Eutrophying Emissions (g PO43-eq/NU, CML2 Baseline)",,,,,,Freshwater Withdrawals (L/NU),,,,,,Stress-Weighted Water Use (L/NU),,,,,,Land Use (m2/FU),,"GHG (kg CO2eq/FU, IPCC 2013 incl. CC feedbacks)",,"Acid. (kg SO2eq/FU, CML2 Baseline)",,"Eutr. (kg PO43-eq/FU, CML2 Baseline)",,Fresh W. (L/FU),,Strs. W. WU (L/FU),
Product,,5th pctl,10th pctl,Mean,Median,90th pctl,95th pctl,5th pctl,10th pctl,Mean,Median,90th pctl,95th pctl,5th pctl,10th pctl,Mean,Median,90th pctl,95th pctl,5th pctl,10th pctl,Mean,Median,90th pctl,95th pctl,5th pctl,10th pctl,Mean,Median,90th pctl,95th pctl,5th pctl,10th pctl,Mean,Median,90th pctl,95th pctl,5th pctl,10th pctl,Mean,Median,90th pctl,95th pctl,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max
Wheat & Rye (Bread),2.7,0.4,0.4,1.4,1.0,2.9,3.7,0.3,0.3,0.6,0.5,0.9,1.1,0.3,0.3,0.6,0.5,0.9,1.2,2.2,2.5,5.0,5.0,7.6,9.4,0.4,0.8,2.7,2.0,5.0,6.8,1,1,242,157,404,"1,259",1,2,"12,479","4,793","20,553","84,389",0.2,13.6,0.2,20.9,1.3,12.5,0.1,28.9,0,"3,243",1,"124,568"
Maize (Meal),4.5,0.2,0.3,0.7,0.4,1.3,2.0,0.1,0.2,0.4,0.3,0.5,0.8,0.1,0.2,0.4,0.3,0.5,0.8,1.2,1.3,2.6,2.2,4.6,5.0,0.3,0.3,0.9,0.5,1.8,2.8,0,0,48,10,117,132,0,0,"2,402",77,"5,390","6,239",0.1,6.4,0.1,16.0,0.6,5.6,0.2,4.6,0,"1,590",0,"101,983"
Barley (Beer),5,0.04,0.1,0.2,0.2,0.5,0.6,0.1,0.1,0.2,0.2,0.3,0.4,0.1,0.1,0.2,0.2,0.3,0.4,1.0,1.1,1.3,1.2,1.5,1.6,0.2,0.2,0.5,0.4,0.8,1.0,1,1,3,1,2,10,2,2,139,5,58,324,0.0,0.8,0.1,0.5,1.0,7.7,0.2,2.5,1,114,1,"8,297"
Oatmeal,2.6,1.0,1.1,2.9,2.9,4.9,5.3,0.3,0.3,0.9,1.0,1.6,1.6,0.3,0.3,0.9,1.0,1.6,1.6,2.3,2.9,4.1,3.7,5.7,6.6,2.2,2.5,4.3,3.8,6.2,9.2,0,0,184,256,307,324,0,0,"7,162","9,324","11,190","11,824",1.0,4.7,0.3,1.6,1.8,10.9,1.3,9.7,0,683,0,"40,146"
Rice,3.7,0.3,0.3,0.8,0.6,1.7,2.0,0.3,0.4,1.2,1.0,2.4,2.8,0.3,0.3,1.0,0.9,2.0,2.3,2.4,2.7,7.4,5.0,17,20,0.8,0.9,10,2.5,37,42,0,0,610,427,"1,068","2,869",0,0,"13,450","1,255","31,285","51,892",0.3,2.2,0.3,3.9,1.6,24.1,0.6,46.7,0,"3,366",0,"225,827"
Potatoes,0.7,0.5,0.6,1.2,1.1,1.9,2.3,0.1,0.2,0.6,0.6,0.9,1.0,0.1,0.2,0.6,0.6,0.9,0.9,3.2,3.5,5.3,4.9,7.3,9.4,0.8,0.9,4.8,6.1,8.4,8.4,0,1,81,4,182,322,0,11,"3,763",107,"12,172","12,265",0.3,5.5,0.1,2.2,2.8,14.9,0.9,16.5,0,"1,140",0,"55,402"
Cassava,1.0,0.7,0.8,1.9,1.4,3.3,3.4,0.3,0.4,1.4,1.1,2.2,2.3,0.3,0.3,1.3,1.0,2.1,2.3,2.6,2.8,3.5,3.2,4.9,5.2,0.5,0.5,0.7,0.7,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,9.5,0.2,37.1,2.7,6.0,0.5,0.9,0,0,0,0
Cane Sugar,-,1.1,1.2,2.0,1.8,3.1,3.5,0.6,0.9,3.2,3.2,5.1,5.6,0.6,0.9,3.2,3.2,5.1,5.6,5.4,7.9,18,18,28,31,3.3,4.0,17,11,41,42,7,8,620,8,"2,520","3,567",14,15,"16,439",15,"34,108","34,891",0.8,34.8,0.6,47.6,5.0,38.0,2.5,133.7,7,"7,770",9,"359,239"
Beet Sugar,-,1.1,1.2,1.8,1.5,3.1,3.3,1.0,1.2,1.8,1.8,2.4,2.6,1.0,1.2,1.8,1.8,2.4,2.7,4.4,4.4,13,12,18,21,2.1,2.1,5.4,4.3,14,17,10,12,218,12,506,"1,656",12,15,"9,493",115,"22,816","76,242",0.7,4.5,0.9,3.5,4.4,68.6,2.1,16.6,10,"1,900",10,"87,129"
Other Pulses,2.1,1.9,4.6,7.3,5.7,19,20,0.4,0.5,0.8,0.6,1.8,1.9,0.4,0.5,0.8,0.6,1.7,1.9,2.6,5.1,10,8.9,16,17,0.7,0.8,8.0,6.4,22,23,0,0,204,0,584,"1,028",0,0,"10,499",0,"21,306","49,582",0.5,19.5,0.3,2.5,1.8,17.2,0.4,22.9,0,"3,521",0,"202,073"
Peas,2.2,1.0,1.2,3.4,3.0,6.4,9.2,0.2,0.3,0.4,0.4,0.8,0.8,0.2,0.3,0.4,0.4,0.8,0.8,1.4,1.6,3.8,4.6,4.9,5.0,0.3,0.3,3.4,0.8,15,15,0,0,178,0,"1,395","1,613",0,0,"12,578",0,"102,760","118,810",0.8,9.9,0.2,1.0,1.4,9.3,0.4,15.1,0,"1,823",0,"136,341"
Nuts,1.6,2.5,2.7,7.9,5.3,16,16,-2.5,-2.2,0.3,-0.8,2.4,6.6,-2.4,-2.3,0.2,-0.8,2.4,6.2,12,13,28,21,41,59,4.1,4.9,12,8.9,25,29,0,0,"2,531","1,117","5,577","6,971",0,0,"140,778","79,219","395,673","494,586",2.3,28.2,-5.0,14.5,6.7,73.0,3.3,55.6,0,"6,971",0,"494,586"
Groundnuts,2.6,1.6,1.8,3.5,3.0,5.9,5.9,0.5,0.6,1.2,1.3,2.2,2.3,0.5,0.6,1.2,1.2,2.2,2.3,3.9,4.0,8.6,6.3,21,22,2.2,2.2,5.4,6.5,7.5,8.0,21,265,708,344,"2,492","2,492",908,930,"23,605","16,941","74,536","74,536",1.6,5.9,0.5,2.4,3.5,21.8,1.9,7.5,0,"2,492",0,"74,536"
Soymilk,-,0.3,0.3,0.7,0.6,0.9,1.1,0.5,0.6,1.0,0.9,1.5,1.7,0.5,0.6,1.0,0.9,1.5,1.7,2.1,2.2,2.6,2.5,3.1,3.3,0.5,0.5,1.1,1.2,1.6,1.6,1,1,28,1,146,159,2,2,956,6,"5,301","5,769",0.3,1.7,0.7,1.9,3.2,4.8,0.5,4.3,1,209,1,"19,425"
