,,Impact / kg Food Balance Sheet functional unit (ex. waste),,,,,,,,,,,,,,,"Food, Waste and Non-Food ('000 t, 2009-11 avg.)",Impact / kg Food Balance Sheet functional unit (ex. waste and non-food allocations),,,
,"Food and Waste ('000 t, 2009-11 avg.)",Land Use (m2),,,"GHG (kg CO2eq, IPCC 2013)",,,,,,,Acid.(kg SO2eq),Eutr. (kg PO43-eq),Freshwater (L),Str-Wt WU (L eq),,,Land Use (m2),,,Freshwater (L)
Product,,Arable,Fallow,Perm Past,LUC,Feed,Farm,Processing,Transport,Packging,Retail,Total,Total,Total,Total,,,Arable,Fallow,Perm Past,Total
Wheat & Rye (Bread),"482,152",2.6,0.9,0.0,0.1,0.0,0.8,0.2,0.1,0.1,0.1,0.012,0.007,567,"28,918",,"502,601",2.5,0.9,0.0,568
Maize (Meal),"194,554",1.2,0.5,0.0,0.3,0.0,0.5,0.1,0.1,0.1,0.0,0.007,0.002,120,"6,007",,"372,539",1.2,0.5,0.0,120
Barley (Beer),"206,523",0.7,0.3,0.0,0.0,0.0,0.2,0.1,0.0,0.5,0.3,0.006,0.002,15,604,,"206,828",0.6,0.2,0.0,14
Oatmeal,"4,463",3.4,1.4,0.0,0.0,0.0,1.4,0.0,0.1,0.1,0.0,0.007,0.007,302,"11,774",,"4,485",3.4,1.3,0.0,299
Rice,"397,780",2.1,0.3,0.0,0.0,0.0,3.6,0.1,0.1,0.1,0.1,0.024,0.030,"1,962","43,275",,"413,660",2.1,0.3,0.0,"1,963"
Potatoes,"332,343",0.5,0.1,0.0,0.0,0.0,0.2,0.0,0.1,0.0,0.0,0.003,0.003,43,"2,027",,"340,906",0.5,0.1,0.0,43
Cassava,"173,814",0.9,0.3,0.0,0.6,0.0,0.2,0.0,0.1,0.0,0.0,0.003,0.001,0,0,,"213,351",0.9,0.3,0.0,0
Cane Sugar,"141,702",1.2,0.4,0.0,1.2,0.0,0.5,0.0,0.8,0.1,0.0,0.015,0.014,492,"13,096",,"199,238",1.3,0.4,0.0,599
Beet Sugar,"34,038",1.2,0.3,0.0,0.0,0.0,0.5,0.2,0.6,0.1,0.0,0.011,0.004,170,"7,413",,"66,972",1.4,0.3,0.0,199
Other Pulses,"42,765",9.9,3.8,0.0,0.0,0.0,1.1,0.0,0.1,0.4,0.0,0.019,0.015,364,"18,670",,"43,390",9.8,3.7,0.0,364
Peas,"6,026",5.4,1.4,0.0,0.0,0.0,0.7,0.0,0.1,0.0,0.0,0.008,0.007,353,"24,856",,"6,080",5.3,1.4,0.0,342
Nuts,"15,296",4.7,0.4,0.0,-2.1,0.0,2.1,0.0,0.1,0.1,0.0,0.019,0.009,"1,914","106,382",,"15,383",4.6,0.4,0.0,"1,927"
Groundnuts,"11,827",5.8,1.2,0.0,0.4,0.0,1.4,0.4,0.1,0.1,0.0,0.018,0.011,"1,431","48,147",,"12,743",5.8,1.2,0.0,"1,429"
Soymilk,"33,318",0.5,0.1,0.0,0.2,0.0,0.1,0.2,0.1,0.1,0.3,0.003,0.001,26,894,,"33,318",0.5,0.1,0.0,25
Tofu,"11,853",2.5,0.7,0.0,1.0,0.0,0.5,0.8,0.2,0.2,0.3,0.006,0.006,139,"4,785",,"11,853",2.5,0.7,0.0,138
Soybean Oil,"24,148",7.8,2.4,0.0,3.1,0.0,1.5,0.3,0.3,0.8,0.0,0.016,0.011,418,"15,039",,"39,187",7.8,2.4,0.0,412
Palm Oil,"16,691",2.3,0.2,0.0,3.1,0.0,2.1,1.3,0.2,0.9,0.0,0.018,0.011,7,37,,"47,221",2.3,0.6,0.0,7
Sunflower Oil,"9,554",13.6,3.6,0.0,0.1,0.0,2.1,0.2,0.2,0.9,0.0,0.027,0.051,943,"34,064",,"12,556",13.5,3.6,0.0,963
Rapeseed Oil,"10,311",8.5,2.1,0.0,0.2,0.0,2.3,0.2,0.2,0.8,0.0,0.029,0.019,234,"10,412",,"22,190",8.5,2.1,0.0,227
Olive Oil,"2,997",27.2,1.1,0.0,-0.4,0.0,4.3,0.7,0.5,0.9,0.0,0.041,0.040,"2,322","192,719",,"3,264",27.4,1.1,0.0,"2,304"
